12.6, -9.6, -27.6
12.9, -9.9, -27.3
13.5, -9.3, -26.7
14.4, -7.8, -25.8
13.8, -6, -24.6
15.6, -5.4, -24.6
14.4, -4.8, -23.4
14.7, -5.1, -24.9
14.1, -5.7, -23.7
15.9, -6.3, -24.9
15.3, -5.1, -24.3
15.3, -4.5, -24.3
15.6, -3.6, -22.2
14.7, -3.9, -22.5
15.3, -3.3, -22.5
15, -4.2, -23.4
15.6, -3.6, -22.2
16.2, -3, -22.2
17.1, -2.7, -21.9
15.6, -4.2, -23.4
17.1, -3.3, -23.1
15.3, -3.3, -22.5
16.2, -3.6, -22.8
16.8, -2.4, -22.8
16.5, -3.3, -23.1
15.9, -3.3, -22.5
17.1, -2.7, -22.5
15.9, -2.1, -21.3
17.1, -2.1, -21.3
16.8, -3, -21.6
17.4, -1.2, -21
15.9, -1.5, -20.7
18.3, -2.1, -21.9
16.8, -1.8, -21.6
16.5, -2.7, -21.9
16.8, -1.8, -21.6
15.3, -3.3, -22.5
17.7, -2.1, -22.5
18.3, -1.5, -21.3
17.4, -2.4, -22.2
17.1, -2.7, -22.5
17.1, -2.7, -21.9
18.3, -2.1, -21.3
18, -2.4, -21.6
18.6, -1.8, -21
18.6, -1.8, -22.2
19.2, -1.8, -22.2
17.7, -2.7, -21.9
18.9, -1.5, -21.3
19.2, -3, -22.8
19.5, -2.1, -21.9
20.4, -1.8, -22.8
21, -2.4, -23.4
21.3, -2.1, -22.5
20.7, -2.7, -22.5
21.3, -1.5, -21.9
21.6, -1.2, -21.6
21.9, -0.9, -21.9
21.6, -1.8, -22.2
22.2, -1.8, -22.2
22.8, -1.8, -22.2
23.4, -1.8, -24
24, -2.4, -23.4
23.4, -1.8, -22.8
23.7, -0.9, -21.9
24.6, -3, -23.4
23.7, -2.1, -23.1
25.5, -2.1, -23.1
25.8, -3.6, -24.6
26.1, -2.7, -24.3
26.7, -2.1, -22.5
26.4, -3, -24
27, -3, -24
26.1, -3.9, -23.7
27.3, -3.9, -23.7
27.9, -4.5, -25.5
27.6, -4.2, -25.8
28.2, -5.4, -25.2
27, -5.4, -25.8
28.2, -5.4, -25.8
27.9, -5.7, -26.1
29.1, -3.3, -24.9
28.8, -4.8, -25.2
29.1, -4.5, -24.9
28.8, -2.4, -23.4
28.5, -4.5, -24.9
29.1, -3.3, -23.7
27.9, -3.9, -23.7
30, -1.8, -22.2
29.1, -1.5, -21.9
30, -1.2, -21.6
30, -1.8, -21.6
30.6, -1.2, -21.6
29.7, 0.3, -18.9
30.6, -0.6, -21
29.7, 0.9, -20.1
29.7, 1.5, -20.1
30, 0.6, -20.4
30.3, 2.1, -18.9
29.7, 0.9, -18.9
29.1, 0.9, -18.9
29.1, 0.9, -19.5
29.7, 2.1, -18.9
30.6, 1.8, -20.4
29.1, 1.5, -18.9
30.9, 0.3, -20.1
29.1, 0.3, -19.5
30.3, 1.5, -20.1
31.2, 1.2, -19.8
29.1, -0.3, -20.7
30.9, 0.3, -19.5
30, 0, -19.8
30.3, 0.9, -19.5
30.9, 2.7, -18.3
31.2, 1.8, -19.2
30.9, 1.5, -20.1
32.1, 1.5, -19.5
31.5, 0.9, -19.5
30.9, 1.5, -18.9
31.8, 2.4, -18.6
32.1, 0.9, -18.9
31.2, 1.8, -16.8
32.1, 1.5, -18.9
32.1, 2.1, -18.3
32.7, 2.1, -17.7
32.1, 1.5, -17.7
33, 3.6, -16.8
31.8, 2.4, -17.4
32.7, 2.1, -17.1
31.2, 2.1, -16.5
31.5, 3.3, -15.9
30.9, 3.9, -15.3
32.1, 3.9, -14.7
32.4, 4.8, -14.4
31.2, 6.6, -12
31.2, 6, -12.6
33, 6.6, -12
31.8, 8.4, -10.2
30.6, 7.8, -9.6
31.2, 8.4, -9.6
31.2, 8.4, -9
32.1, 9.9, -8.1
31.2, 7.8, -9.6
30.9, 10.5, -6.3
31.2, 8.4, -7.8
31.2, 10.2, -7.2
31.2, 9.6, -7.8
30.9, 11.7, -5.7
30.9, 9.3, -6.9
30.6, 9.6, -6.6
30.6, 10.2, -6
30.9, 10.5, -5.7
30.6, 12, -4.8
29.7, 9.9, -5.7
30.6, 11.4, -4.8
30.3, 10.5, -4.5
30.3, 11.7, -3.9
28.8, 11.4, -3
30, 12.6, -1.8
29.7, 12.3, -2.7
28.8, 12.6, -0.6
28.8, 13.8, -1.2
29.1, 14.1, -1.5
29.4, 13.2, -1.8
29.1, 13.5, -0.9
29.4, 14.4, -0.6
28.2, 14.4, 0
28.5, 14.1, 0.3
28.5, 14.1, 0.9
27, 13.2, 0.6
26.7, 14.1, 1.5
27.3, 15.9, 2.1
26.7, 14.1, 0.9
26.7, 14.7, 3.3
25.8, 15, 3.6
25.2, 15.6, 4.2
24.3, 15.3, 3.9
24.6, 16.8, 6
24, 16.8, 6
22.2, 18, 8.4
22.2, 17.4, 7.8
22.8, 18, 8.4
22.2, 19.8, 10.2
21.9, 19.5, 9.9
22.2, 19.8, 10.2
20.4, 18, 10.2
21, 19.8, 10.8
19.5, 19.5, 11.7
18.6, 19.8, 12.6
19.5, 18.3, 9.9
19.8, 19.2, 11.4
18.6, 19.8, 13.2
18.9, 20.7, 12.9
18, 20.4, 13.8
16.5, 19.5, 13.5
15.3, 20.1, 15.3
14.7, 20.1, 14.7
13.8, 21, 15.6
12.9, 20.1, 15.3
14.1, 20.7, 16.5
13.2, 19.8, 15.6
12.6, 21.6, 16.8
