24.6, -7.8, -12.6
25.5, -8.1, -12.9
24.6, -9, -14.4
24, -8.4, -14.4
23.7, -8.1, -12.3
24.6, -8.4, -13.2
24.6, -9.6, -14.4
23.4, -9.6, -14.4
24.6, -9.6, -14.4
23.1, -8.1, -12.3
23.1, -8.1, -12.9
24.3, -8.1, -13.5
23.7, -8.1, -12.3
22.8, -7.8, -11.4
21, -7.2, -10.8
22.5, -6.9, -10.5
21.3, -8.7, -10.5
21.3, -7.5, -9.9
20.7, -8.7, -11.1
20.7, -9.3, -11.1
21.9, -7.5, -10.5
21, -7.2, -10.2
21, -9, -10.8
19.5, -8.7, -9.3
19.8, -8.4, -9
20.4, -9.6, -10.8
18.9, -9.3, -9.9
19.8, -9.6, -10.8
18.9, -8.7, -9.3
16.8, -10.2, -10.2
18.6, -9.6, -9.6
17.7, -9.3, -9.3
16.8, -9.6, -9
16.5, -9.3, -8.1
16.8, -10.2, -9
15.9, -8.7, -7.5
15.9, -9.3, -6.9
15.9, -8.7, -7.5
15.3, -8.7, -6.9
14.7, -9.9, -6.3
14.1, -9.3, -6.3
13.8, -7.8, -4.8
13.5, -8.1, -3.9
13.5, -8.1, -3.9
13.8, -7.2, -4.2
12.3, -8.1, -2.7
11.4, -7.2, -2.4
11.1, -8.1, -3.9
9.3, -7.5, -2.1
10.5, -7.5, -1.5
9.6, -6.6, -1.2
9.3, -6.9, -0.9
8.7, -6.3, -0.3
9, -7.2, -1.8
6.9, -6.9, 0.3
6.6, -6, -0.3
6.9, -7.5, -0.9
6.3, -8.1, -0.3
7.2, -6.6, 0
7.5, -8.1, -0.3
5.4, -7.2, 0.6
5.7, -6.3, 1.5
4.8, -7.2, 1.2
4.2, -7.2, 1.2
3, -7.2, 1.8
1.2, -7.8, 2.4
1.8, -7.2, 2.4
2.4, -7.8, 1.2
0.9, -7.5, 2.7
0.3, -8.1, 1.5
0, -7.2, 3
0, -7.8, 3
-0.9, -7.5, 3.3
-0.6, -8.4, 3
-3, -8.4, 3.6
-2.7, -7.5, 3.9
-4.2, -8.4, 4.2
-3.9, -8.7, 3.9
-5.4, -9.6, 4.2
-5.7, -8.7, 3.3
-8.1, -10.5, 3.9
-7.8, -10.2, 3
-9.3, -10.5, 3.9
-11.1, -11.1, 3.9
-10.8, -11.4, 3.6
-10.5, -11.7, 2.7
-10.8, -10.8, 3
-10.8, -10.8, 3.6
-13.5, -11.1, 3.3
-12, -11.4, 3.6
-13.2, -10.8, 4.8
-14.1, -12.3, 3.3
-15.3, -12.3, 3.9
-15.9, -11.7, 3.9
-16.2, -12.6, 3
-17.1, -11.7, 4.5
-15.9, -12.3, 3.3
-18, -11.7, 4.5
-18.3, -11.7, 4.5
-17.7, -12.9, 3.3
-19.2, -12.6, 3.6
-19.8, -12, 3.6
-19.8, -13.8, 3
-21, -13.2, 3.6
-20.4, -12, 4.2
-20.7, -12.9, 2.7
-22.2, -13.2, 3.6
-22.5, -12.9, 2.7
-21.9, -14.1, 1.5
-23.1, -13.5, 3.9
-22.5, -13.5, 2.1
-21.3, -13.5, 0.9
-23.1, -14.7, 0.9
-22.8, -14.4, 1.2
-23.4, -13.8, 1.8
-24, -14.4, 1.2
-23.7, -14.1, 0.3
-25.8, -15.6, 0.6
-24.6, -16.2, -0.6
-24.6, -15.6, 0
-24.6, -16.2, -1.2
-24.3, -15.9, -1.5
